id	surface	niqqud	stratum	depth	draft_proclitics	stem	posDicta	offline_agrees	needs_r1	R1_VERDICT	R1_NOTES	context
136	הגאולה	הַגְּאֻלָּה	content	1	ה	גאלה	noun	N	YES	ה	visible article/determiner ה	"נשגבת סוד הגאולה!
137	הגבעול	הַגִּבְעוֹל	content	1	ה	גבעול	noun	N	YES	ה	visible article/determiner ה	ואם אין משענה להאחז בה יזחל הגבעול והשתרע על פני הארץ.
138	הגלותית	הַגָּלוּתִית	content	1	ה	גלותית	adjective	N	YES	ה	visible article/determiner ה	הן כל השתתפותנו בה היא רק בבחינת צאן לטבח, בשר לתותחים, וכל תוצאותיה בשבילנו – רק שכול, אל
139	הגן	הַגַּן	content	1	ה	גן	noun	N	YES	ה	visible article/determiner ה	בשדרות המצלות בקרב הגן;
140	הגרמנית	הַגֶּרְמָנִית	content	1	ה	גרמנית	adjective	N	YES	ה	visible article/determiner ה	יהודים; הם ספגו לתוכם את התרבות הגרמנית.
141	הגשמית	הַגַּשְׁמִית	content	1	ה	גשמית	adjective	N	YES	ה	visible article/determiner ה	בימי הבינים, שהיה כלל ישראל במקרים כאלה רגיל לחשוב עצמו כעומד במשפט ביחד עם אותם האומללים 
142	הדבר	הַדָּבָר	content	1	ה	דבר	noun	N	YES	ה	visible article/determiner ה	הדבר נקרא רע ובא לידי פעולה רעה רק בספירה השניה של הבריאה, בספירה התולדתית.
143	הדגש	הַדָּגֵשׁ	content	1	ה	דגש	noun	N	YES	ה	visible article/determiner ה	הדגש הוא: איך לעשות?
144	הדרך	הַדֶּרֶךְ	content	1	ה	דרך	noun	N	YES	ה	visible article/determiner ה	אתם מכירים את הדרך.
145	ההפך	הַהֶפֶךְ	content	1	ה	הפך	noun	N	YES	ה	visible article/determiner ה	ואני מתפלא על ההפך.
146	הועידה	הַוְּעִידָה	content	1	ה	ועידה	noun	N	YES	ה	visible article/determiner ה	ככה דבר דר' ויצמן בששה ליולי העבר, לפני אספת צירי הועידה, מדברי
147	הזמן	הַזְּמַן	content	1	ה	זמן	noun	N	YES	ה	visible article/determiner ה	פנימיות הזמן, וימי החול מקיפים הם לשבת: המקיים מצוות שבת כהלכתה חיי
148	הזרזיר	הַזַּרְזִיר	content	1	ה	זרזיר	noun	N	YES	ה	visible article/determiner ה	אותם יצוד הזרזיר בלכתו ובעופו.
149	הזרזירים	הַזַּרְזִירִים	content	1	ה	זרזירים	noun	N	YES	ה	visible article/determiner ה	זעותבאות רוחות הסתו הצוננות ויחד עמן יראו הזרזירים.
150	החזקה	הַחֲזָקָה	content	1	ה	חזקה	adjective	N	YES	ה	visible article/determiner ה	העלילה הנתעבה הזאת, בכל ישנה, היתה ותהיה תמיד בעינינו כחדשה, ומימי הבינים ועד עתה תצטין בפ
151	החיה	הַחַיָּה	content	1	ה	חיה	adjective	N	YES	ה	visible article/determiner ה	בשולי הפרק הרוח החיה מאת מאיר שחר
152	החיל	הַחַיִל	content	1	ה	חיל	noun	N	YES	ה	visible article/determiner ה	עקבנו אחרי התפתחות החיל הזה.
153	החכם	הֶחָכָם	content	1	ה	חכם	adjective	N	YES	ה	visible article/determiner ה	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
154	החלאה	הַחֶלְאָה	content	1	ה	חלאה	noun	N	YES	ה	visible article/determiner ה	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
155	החרישה	הַחֲרִישָׁה	content	1	ה	חרישה	noun	N	YES	ה	visible article/determiner ה	יודע הזרזיר כי התולעים מגיחים מן האדמה בעת החרישה, והוא
156	הטבע	הַטֶּבַע	content	1	ה	טבע	noun	N	YES	ה	visible article/determiner ה	מה יפה הטבע!..
157	הטהר	הַטֹּהַר	content	1	ה	טהר	noun	N	YES	ה	visible article/determiner ה	אצבר ממרחקי קמת הטהר,
158	הטחנה	הַטַּחֲנָה	content	1	ה	טחנה	noun	N	YES	ה	visible article/determiner ה	נאות הן הרקפות המציצות ממרומי הכפים בגיאהנום ועל יד "אשד הטחנה" במטולה,
159	הירוק	הַיָּרֹק	content	1	ה	ירק	adjective	N	YES	ה	visible article/determiner ה	המטייל בשלהי קיץ בהרי יהודה, השומרון והשפלה, ונכנס לעמק החולה, ישתומם למרחב העצום הירוק ול
160	הירוקים	הַיְּרֻקִּים	content	1	ה	ירקים	adjective	N	YES	ה	visible article/determiner ה	האפון ייטיב לצמח בחרף. הוא נזרע עוד לפני הגשמים וכעבר שלשה חדשים ירהיב כבר את עינינו בתרמי
161	הכחול	הַכָּחֹל	content	1	ה	כחל	adjective	N	YES	ה	visible article/determiner ה	הפורטת על הפסנתר הכחול
162	הכחולה	הַכְּחֻלָּה	content	1	ה	כחלה	adjective	N	YES	ה	visible article/determiner ה	הכחולה המתנפחים ברוח רבב שמן גדול. מידיו האוחזות בהגה ניכר שחור
163	הכלב	הַכֶּלֶב	content	1	ה	כלב	noun	N	YES	ה	visible article/determiner ה	לפני שנים רבות, רבות מאד אסף האדם את הכלב לביתו.
164	הכלל	הַכְּלָל	content	1	ה	כלל	noun	N	YES	ה	visible article/determiner ה	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
165	הלבן	הַלָּבָן	content	1	ה	לבן	adjective	N	YES	ה	visible article/determiner ה	במורד הלבן משחירים הכפים
166	הלבנה	הַלְּבָנָה	content	1	ה	לבנה	noun	N	YES	ה	visible article/determiner ה	ראי הלבנה נוצצה,
167	הלהבה	הַלֶּהָבָה	content	1	ה	להבה	noun	N	YES	ה	visible article/determiner ה	אשרי הלהבה שבערה בסתרי לבבות.
168	המדנים	הַמְּדָנִים	content	1	ה	מדנים	noun	N	YES	ה	visible article/determiner ה	וברנדיס, זה "איש המדנים", "רודף הכבוד".
169	המהדרין	הַמְּהַדְּרִין	content	1	ה	מהדרין	noun	N	YES	ה	visible article/determiner ה	דבר אחד ברור לחלוטין: דרך כשרה, שסופה כישלון, פסולה היא; דרך "פסולה", שסופה נצחון – כשרה ל
170	המורם	הַמּוּרָם	content	1	ה	מורם	adjective	N	YES	ה	visible article/determiner ה	לאט לאט ילך וזנבו המורם יתנועע בלי הרף.
171	המטורפת	הַמְּטֹרֶפֶת	content	1	ה	מטרפת	adjective	N	YES	ה	visible article/determiner ה	מובהקים ובכלל האומה כלה, שהנה עכשו דוגמת ספינה המטורפת בים שזקוקה
172	המטרה	הַמַּטָּרָה	content	1	ה	מטרה	noun	N	YES	ה	visible article/determiner ה	עוד… עוד… ועוד… והנה המטרה, − וכאן נגמר, − אף צעד לא יזוז,
173	המיוחדות	הַמְּיֻחָדוֹת	content	1	ה	מיחדות	adjective	N	YES	ה	visible article/determiner ה	הגורים שנולדו בחר לו את אלה שמצאו חן בעיניו, בגלל תכונותיהם המיוחדות,
174	המיועדת	הַמְּיֹעֶדֶת	content	1	ה	מיעדת	adjective	N	YES	ה	visible article/determiner ה	עבודתי, בכורסה המיועדת לאורחים, יושב איש זר, לא ידעתיו מתמול
175	המלאי	הַמְּלַאי	content	1	ה	מלאי	noun	N	YES	ה	visible article/determiner ה	(שיר-שחלה, וחרוז- המלאי).
176	המסוכן	הַמְּסֻכָּן	content	1	ה	מסכן	adjective	N	YES	ה	visible article/determiner ה	המסוכן שבגלות אינו ריבוי הרדיפות והצרות, אלא מיעוט הסבל והפורענות.
177	המת	הַמֵּת	content	1	ה	מת	noun	N	YES	ה	visible article/determiner ה	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
178	הנחליאלי	הַנַּחְלִיאֵלִי	content	1	ה	נחליאלי	noun	N	YES	ה	visible article/determiner ה	בימי החרף יראה על שפת הפלגים והנחלים בארצנו העוף הנחמד והחביב – הנחליאלי.
179	הנער	הַנַּעַר	content	1	ה	נער	noun	N	YES	ה	visible article/determiner ה	עם בוקר, בטפלי בגינה שלפני ביתי, אני רואה את הנער
180	הנפש	הַנֶּפֶשׁ	content	1	ה	נפש	noun	N	YES	ה	visible article/determiner ה	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
181	הסבכים	הַסְּבָכִים	content	1	ה	סבכים	noun	N	YES	ה	visible article/determiner ה	הסבכים במורד ההר;
182	הסכנה	הַסַּכָּנָה	content	1	ה	סכנה	noun	N	YES	ה	visible article/determiner ה	בימי הבינים, שהיה כלל ישראל במקרים כאלה רגיל לחשוב עצמו כעומד במשפט ביחד עם אותם האומללים 
183	הספר	הַסֵּפֶר	content	1	ה	ספר	noun	N	YES	ה	visible article/determiner ה	נשאתי פני מן הספר שקראתי וראיתי: ממולי, מעבר לשולחן
184	העבר	הֶעָבָר	content	1	ה	עבר	noun	N	YES	ה	visible article/determiner ה	ככה דבר דר' ויצמן בששה ליולי העבר, לפני אספת צירי הועידה, מדברי
185	העלילה	הָעֲלִילָה	content	1	ה	עלילה	noun	N	YES	ה	visible article/determiner ה	העלילה הנתעבה הזאת, בכל ישנה, היתה ותהיה תמיד בעינינו כחדשה, ומימי הבינים ועד עתה תצטין בפ
186	העלים	הֶעָלִים	content	1	ה	עלים	noun	N	YES	ה	visible article/determiner ה	אט ינע העלים,
187	העלם	הָעֶלֶם	content	1	ה	עלם	noun	N	YES	ה	visible article/determiner ה	יצא העלם לשאוף אויר צח, נאמר, לשער דמשק וצפונה.
188	העמק	הָעֵמֶק	content	1	ה	עמק	noun	N	YES	ה	visible article/determiner ה	בדרום העמק נכנסים הנחלים לביצה המשתרעת על שטח של אלפי דונמים ותופשת
189	הענק	הָעֲנָק	content	1	ה	ענק	adjective	N	YES	ה	visible article/determiner ה	– החרמון הענק, וממערב – רכסי הרינפתלי.
190	הפחד	הַפַּחַד	content	1	ה	פחד	noun	N	YES	ה	visible article/determiner ה	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
191	הפלג	הַפֶּלֶג	content	1	ה	פלג	noun	N	YES	ה	visible article/determiner ה	עם מורד הפלג יש סלע לאנראה,
192	הפנימי	הַפְּנִימִי	content	1	ה	פנימי	adjective	N	YES	ה	visible article/determiner ה	החיצוניות היא בלשונם לבוש המקיף את הגרעין הפנימי ומגן עליו.
193	הפרח	הַפֶּרַח	content	1	ה	פרח	noun	N	YES	ה	visible article/determiner ה	מיוחד במינו הוא מבנה הפרח.
194	הפרק	הַפֶּרֶק	content	1	ה	פרק	noun	N	YES	ה	visible article/determiner ה	בשולי הפרק הרוח החיה מאת מאיר שחר
195	הצבא	הַצָּבָא	content	1	ה	צבא	noun	N	YES	ה	visible article/determiner ה	וכחיל מיוחד בתוך הצבא, הולך ומתארגן הנח"ל, שמלבד הכשרתו לכוננות קרבית
196	הציונות	הַצִּיּוֹנוּת	content	1	ה	ציונות	noun	N	YES	ה	visible article/determiner ה	זה "מהרס הציונות", קם ויכריז:
197	הצעיר	הַצָּעִיר	content	1	ה	צעיר	adjective	N	YES	ה	visible article/determiner ה	בימי הועידה האחרונה, נזכרנו בתקופת הויכוח עם 'השומר הצעיר' על יסודות
198	הצעירה	הַצְּעִירָה	content	1	ה	צעירה	adjective	N	YES	ה	visible article/determiner ה	אלזה היתה הצעירה שבין ששת
199	הקטנה	הַקְּטַנָּה	content	1	ה	קטנה	adjective	N	YES	ה	visible article/determiner ה	להורים לא היה כל יסוד לחשוש לעתידה של בתם הקטנה.
200	הרגל	הָרֶגֶל	content	1	ה	רגל	noun	N	YES	ה	visible article/determiner ה	הרגל צועדת, השכם רועד,
201	הרוח	הָרוּחַ	content	1	ה	רוח	noun	N	YES	ה	visible article/determiner ה	קל יחלוף הרוח,
202	הרעה	הָרָעָה	content	1	ה	רעה	noun	N	YES	ה	visible article/determiner ה	מקור הרעה איננו בזה שאנו מיעוט בכל, אלא בזה שאנו משועבדים.
203	הרפורט	הָרַפּוֹרְט	content	1	ה	רפורט	noun	N	YES	ה	visible article/determiner ה	א. אני מאשר בזה את קבלת הרפורט שלך (בלי תאריך).
204	הרקפות	הָרַקָּפוֹת	content	1	ה	רקפות	noun	N	YES	ה	visible article/determiner ה	כאשר תגבר צנת הסתו, האויר נעשה זך וצלול, המרחקים מבהירים, והחלו להופיע הרקפות הראשונות.
205	השבת	הַשַּׁבָּת	content	1	ה	שבת	noun	N	YES	ה	visible article/determiner ה	יום השבת היא
206	השחר	הַשַּׁחַר	content	1	ה	שחר	noun	N	YES	ה	visible article/determiner ה	בעלות השחר [נוסח 'כוס קטנה']
207	השיר	הַשִּׁיר	content	1	ה	שיר	noun	N	YES	ה	visible article/determiner ה	רגע – צליל השיר בלב רעד.
208	השנה	הַשָּׁנָה	content	1	ה	שנה	noun	N	YES	ה	visible article/determiner ה	השנה שנת 1949, שלהי מלחמת השחרור. הוקם צבא הגנה לישראל,
209	השפלנים	הַשַּׁפְלָנִים	content	1	ה	שפלנים	adjective	N	YES	ה	visible article/determiner ה	כלביהציד, כלביהצאן, השפלנים, ועוד.
210	התולדתית	הַתּוֹלַדְתִּית	content	1	ה	תולדתית	adjective	N	YES	ה	visible article/determiner ה	הדבר נקרא רע ובא לידי פעולה רעה רק בספירה השניה של הבריאה, בספירה התולדתית.
211	התמה	הַתֵּמָה	content	1	ה	תמה	noun	N	YES	ה	visible article/determiner ה	את תקחי את כדך, התמה,
212	וגבבא	וּגְבָבָא	content	1	ו	גבבא	noun	N	YES	ו	outer ו is live	המלונה, על הקרקע, משטח של קש וגבבא, ועליו היתה מוטלת בפישוט ידיים
213	וזכויותיהם	וּזְכוּיוֹתֵיהֶם	content	1	ו	זכויותיהם	noun	N	YES	ו	outer ו is live	גם לפני חמשים שנה, בימי מנוחה ושלוה, שעוררה עלילת דמשק רעש גדול כלכך בארצות המערב, עדיין י
214	וזרועים	וּזְרוּעִים	content	1	ו	זרועים	adjective	N	YES	ו	outer ו is live	רחבים הם, מחספסים וזרועים כתמים כהים.
215	וחגבים	וַחֲגָבִים	content	1	ו	חגבים	noun	N	YES	ו	outer ו is live	שבלולים ורכיכות, תולעים וחגבים –
216	ולבואך	וּלְבוֹאֲךָ	content	1	ו	לבואך	verb	N	YES	ול	ו + infinitival/prepositional ל in לבואך	שם אשב ולבואך אמתינה,
217	ומלמולילדות	וּמִלְמוֹלִילָדוֹת	content	1	ו	מלמולילדות	noun	N	YES	ו	outer ו is live	ומלמולילדות רך ורופף
218	וממושמע	וּמְמֻשְׁמָע	content	1	ו	ממשמע	adjective	N	YES	ו	outer ו is live	בהקפה, "עד לכשירחיב", ושל פקיד צייתן וממושמע, המקבל תמיד מרות של כל תעלא
219	ומפותח	וּמְפֻתָּח	content	1	ו	מפתח	adjective	N	YES	ו	outer ו is live	עבודה ולכיבוש עצמנו לעבודה, להקמת משק מגוון ומפותח, לטיפוח חברה
220	ומצררים	וּמִצְרָרִים	content	1	ו	מצררים	noun	N	YES	ו	outer ו is live	פנים צמקים ומצררים,
221	ומשרתיה	וּמְשָׁרְתֶיהָ	content	1	ו	משרתיה	noun	N	YES	ו	outer ו is live	תשובתי היא כמובן שלילית: אני לא מאלה המסגירים את עצמם מרצון בידי משטרה, או עושי רצונה ומשר
222	ונפלאותיה	וְנִפְלְאוֹתֶיהָ	content	1	ו	נפלאותיה	noun	N	YES	ו	outer ו is live	…בדבריך יש מעין השתוממות על אשר בשעת חירום זו 1 יכול אדם להתרכז כולו בענייניו הפנימיים ולה
223	וצלמות	וְצַלְמָוֶת	content	1	ו	צלמות	noun	N	YES	ו	outer ו is live	[חלטמאה וצלמות בעיר עתיקה]
224	וקדושת	וּקְדֻשַּׁת	content	1	ו	קדשת	noun	N	YES	ו	outer ו is live	ארץישראל וקדושת העולם
225	ורכיכות	וְרַכִּיכוֹת	content	1	ו	רכיכות	noun	N	YES	ו	outer ו is live	שבלולים ורכיכות, תולעים וחגבים –
226	כחלוםהאביב	כַּחֲלוֹםַהאֲבִיב	content	1	כ	חלוםהאביב	noun	N	YES	כ	כ + חלום־האביב	נאה הוא השקד בפריחתו, רך וענג כחלוםהאביב.
227	כרעם	כְּרַעַם	content	1	כ	רעם	noun	N	YES	כ	כ + רעם	כרעם משמי טוהר הלמה את כל בית ישראל הבשורה המחרידה כי
228	לאנראה	לָאַנְרָאָה	content	1	ל	אנראה	noun	N	YES	-	merged לא נראה / adjectival form; not ל + noun	עם מורד הפלג יש סלע לאנראה,
229	לגיל	לְגִיל	content	1	ל	גיל	noun	N	YES	ל	ל + גיל	שהשירה את שערותיה, בעיקר כאילו לשם סולידריות עם המתקרבים לגיל מסויים,
230	לדורון	לְדוֹרוֹן	content	1	ל	דורון	noun	N	YES	ל	ל + דורון	(אשר תבע בפה אחוז אחד מהם לו לדורון)
231	לחדר	לְחֶדֶר	content	1	ל	חדר	noun	N	YES	ל	infinitival/prepositional ל + חדר	שרש האפון גדול ומסתעף לצדדים והוא מעמיק לחדר באדמה.
232	לחרות	לְחֵרוּת	content	1	ל	חרות	noun	N	YES	ל	ל + חרות	גם לפני חמשים שנה, בימי מנוחה ושלוה, שעוררה עלילת דמשק רעש גדול כלכך בארצות המערב, עדיין י
233	לטבח	לַטֶּבַח	content	1	ל	טבח	noun	N	YES	לה	ל+ה+טבח; fused article indicated by vocalization	הן כל השתתפותנו בה היא רק בבחינת צאן לטבח, בשר לתותחים, וכל תוצאותיה בשבילנו – רק שכול, אל
234	לטוב	לְטוֹב	content	1	ל	טוב	noun	N	YES	ל	ל + טוב	הפחד לקוות לטוב
235	ליולי	לְיוּלִי	content	1	ל	יולי	noun	N	YES	ל	ל + יולי	ככה דבר דר' ויצמן בששה ליולי העבר, לפני אספת צירי הועידה, מדברי
236	לישר	לְיַשֵּׁר	content	1	ל	ישר	verb	N	YES	ל	infinitival ל + ישר	לישר ותם הילדות!
237	למינהו	לְמִינֵהוּ	content	1	ל	מינהו	noun	N	YES	ל	ל + מינהו	כל מין למינהו
238	לממשיכי	לְמַמְשִׁיכֵי	content	1	ל	ממשיכי	noun	N	YES	ל	ל + ממשיכי	חג לפרט בקיבוץ, לחברה כולה, לילדיו, לחניכיו, לממשיכי דרכו בכל פינות הארץ – לתנועה כולה.
239	למשל	לְמָשָׁל	content	1	ל	משל	noun	N	YES	-	lexicalized למשל “for example”; suppress live ל segmentation	התעשיה בקיבוץ להתפתח בצעדים מהירים הרבה יותר מאשר החקלאות, למשל.
240	לנשר	לַנֶּשֶׁר	content	1	ל	נשר	noun	N	YES	לה	ל+ה+נשר; fused article indicated by לַ + dagesh	– (הן אותך דמיתי לנשר!)…
241	לעמק	לָעֵמֶק	content	1	ל	עמק	noun	N	YES	לה	ל+ה+עמק; fused article before guttural indicated by לָ	ותצאי לעמק רק לשאב לך מים.
242	לפרח	לַפֶּרַח	content	1	ל	פרח	noun	N	YES	ל	contextual infinitival ל “to blossom”; do not read as article	שקדן הוא מכל עציהפרי, אך יש שימהר לפרח יותר
243	לפרט	לַפְּרָט	content	1	ל	פרט	noun	N	YES	לה	ל+ה+פרט; fused article indicated by לַ + dagesh	חג לפרט בקיבוץ, לחברה כולה, לילדיו, לחניכיו, לממשיכי דרכו בכל פינות הארץ – לתנועה כולה.
244	לצמח	לַצֶּמַח	content	1	ל	צמח	noun	N	YES	ל	contextual infinitival ל “to grow”; do not read as article	האפון ייטיב לצמח בחרף. הוא נזרע עוד לפני הגשמים וכעבר שלשה חדשים ירהיב כבר את עינינו בתרמי
245	לרטט	לָרֶטֶט	content	1	ל	רטט	noun	N	YES	לה	ל+ה+רטט; fused article before ר indicated by לָ	או לרטט האשר של לב מאהב,
246	לשאב	לְשָׁאַב	content	1	ל	שאב	noun	N	YES	ל	infinitival ל + שאב	ותצאי לעמק רק לשאב לך מים.
247	לשמע	לְשֶׁמַע	content	1	ל	שמע	noun	N	YES	ל	ל + שמע	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
248	לשער	לְשַׁעַר	content	1	ל	שער	noun	N	YES	ל	ל + שער	יצא העלם לשאוף אויר צח, נאמר, לשער דמשק וצפונה.
249	מדברי	מִדִּבְרֵי	content	1	מ	דברי	noun	N	YES	מ	מ + דברי	ככה דבר דר' ויצמן בששה ליולי העבר, לפני אספת צירי הועידה, מדברי
250	מזהבות	מִזְּהָבוֹת	content	1	מ	זהבות	noun	N	YES	-	מזהבות is adjectival/participle “gilded”; מ is derivational, not מן	כל ספרי בכריכות מזהבות.
251	מימי	מִימֵי	content	1	מ	ימי	noun	N	YES	מ	מ + ימי	מערכות הגורל, שפקדו את ארצנו ועם ישראל מימי ה'מאורעות', מלחמת העולם,
252	מעבדות	מֵעַבְדוּת	content	1	מ	עבדות	noun	N	YES	מ	מ + עבדות	גם לפני חמשים שנה, בימי מנוחה ושלוה, שעוררה עלילת דמשק רעש גדול כלכך בארצות המערב, עדיין י
253	מפרח	מִפֶּרַח	content	1	מ	פרח	noun	N	YES	מ	מ + פרח	הדבורים תמהרנה אליו בזמזוםנעם, מפרח לפרח תדדנה, צוף תינקנה.
254	מצפון	מִצָּפוֹן	content	1	מ	צפון	noun	N	YES	מ	מ + צפון	סוגרים עליה הרים גבוהים מרוב צדדיה: ממזרח – שלשלת הריגולן, מצפון
255	מקהל	מִקְּהַל	content	1	מ	קהל	noun	N	YES	מ	מ + קהל	רבי איזיק עוד נותר מקהל הראשונים
256	שדם	שֶׁדָּם	content	1	ש	דם	noun	N	YES	ש	ש complementizer/relative	ותרעד תפלתם על מעניות שדם
257	שחנו	שֶׁחָנוּ	content	1	ש	חנו	verb	N	YES	ש	ש complementizer/relative	היום שחנו על חיי-נשמות
258	שנתחדשו	שֶׁנִּתְחַדְּשׁוּ	content	1	ש	נתחדשו	verb	N	YES	ש	ש complementizer/relative	בין כל הצרות שנתחדשו עלינו בעת האחרונה תעשה ביחוד רושם מעציב בלב כל איש ישראל התחדשות 'עלי
259	שנתפרסמה	שֶׁנִּתְפַּרְסְמָה	content	1	ש	נתפרסמה	verb	N	YES	ש	ש complementizer/relative	מתוך רשימה שנתפרסמה ב'דף למדריך' מס' 1, עלון תנועת 'הצופים העובדים'.
260	שרץ	שֶׁרָץ	content	1	ש	רץ	verb	N	YES	ש	ש complementizer/relative	לאדם שרץ דרך ארוכה ביותר ויודע את מטרתו, − כמעט ונפל
261	באיזמל	בָּאִזְמֵל	content	0	(unclear)	אזמל	noun	N	YES	בה	ב+ה+איזמל; fused article before א indicated by בָ	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
262	בגינה	בַּגִּנָּה	content	0	(unclear)	גנה	noun	N	YES	בה	ב+ה+גינה; fused article indicated by בַּ + dagesh	עם בוקר, בטפלי בגינה שלפני ביתי, אני רואה את הנער
263	בוקר	בֹּקֶר	content	0	(unclear)	בקר	noun	N	YES	-	whole word בוקר; ב is root	עם בוקר, בטפלי בגינה שלפני ביתי, אני רואה את הנער
264	בחיבוק	בְּחִבּוּק	content	0	(unclear)	חבוק	noun	N	YES	ב	ב + חיבוק	אין לשבת בחיבוק ידיים; אין לתת לאוייב להתבצר בעמדותיו האנטי-ציוניות; אין לחכות להתקפותיו ה
265	בכורסה	בְּכֻרְסָה	content	0	(unclear)	כרסה	noun	N	YES	ב	ב + כורסה	עבודתי, בכורסה המיועדת לאורחים, יושב איש זר, לא ידעתיו מתמול
266	בליהרף	בְּלִהְרָף	content	0	(unclear)	בלהרף	noun	N	YES	-	lexicalized בלי־הרף; do not split ב/בלי	הלוחש בליהרף על דבר שנשכח.
267	בנוער	בַּנֹּעַר	content	0	(unclear)	נער	noun	N	YES	בה	ב+ה+נוער; fused article indicated by בַּ + dagesh	שויון זכויות לחינוך בנוער
268	בפועל	בְּפֹעַל	content	0	(unclear)	פעל	noun	N	YES	-	lexicalized בפועל “in practice”; suppress live ב segmentation	אלף, מספר המפרנסים בפועל – כ370 אלף.
269	בפישוט	בְּפִשּׁוּט	content	0	(unclear)	פשוט	noun	N	YES	ב	ב + פישוט	המלונה, על הקרקע, משטח של קש וגבבא, ועליו היתה מוטלת בפישוט ידיים
270	בקור	בְּקֹר	content	0	(unclear)	קר	noun	N	YES	ב	ב + קור	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
271	בקיבוץ	בַּקִּבּוּץ	content	0	(unclear)	קבוץ	noun	N	YES	בה	ב+ה+קיבוץ; fused article indicated by בַּ + dagesh	חג לפרט בקיבוץ, לחברה כולה, לילדיו, לחניכיו, לממשיכי דרכו בכל פינות הארץ – לתנועה כולה.
272	האומה	הָאֻמָּה	content	0	(unclear)	אמה	noun	N	YES	ה	visible article ה	בעודו באבו, בשנת החמשים ואחת לימי חייו, נעדר ממנו פתאום קברניט האומה
273	האומללים	הָאֻמְלָלִים	content	0	(unclear)	אמללים	adjective	N	YES	ה	visible article ה	בימי הבינים, שהיה כלל ישראל במקרים כאלה רגיל לחשוב עצמו כעומד במשפט ביחד עם אותם האומללים 
274	האיזמל	הָאִזְמֵל	content	0	(unclear)	אזמל	noun	N	YES	ה	visible article ה	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
275	הביער	הֲבִעֵר	content	0	(unclear)	בער	verb	N	YES	ה	interrogative ה; not article	הביער אם בגיא?
276	הויכוח	הַוִּכּוּחַ	content	0	(unclear)	וכוח	noun	N	YES	ה	visible article ה	בימי הועידה האחרונה, נזכרנו בתקופת הויכוח עם 'השומר הצעיר' על יסודות
277	הורגלנו	הֻרְגַּלְנוּ	content	0	(unclear)	הרגלנו	verb	N	YES	-	הורגלנו is Hophal/verb morphology; ה is not article/interrogative proclitic	אך בימינו אלה הרי מצד אחד אין הסכנה הגשמית גדולה עוד הרבה, ביחוד לקהלות רחוקות, ומצד אחר כ
278	החול	הַחֹל	content	0	(unclear)	חל	noun	N	YES	ה	visible article ה	פנימיות הזמן, וימי החול מקיפים הם לשבת: המקיים מצוות שבת כהלכתה חיי
279	החורים	הַחֹרִים	content	0	(unclear)	חרים	noun	N	YES	ה	visible article ה	בשדות ישוטו, אל החורים והסדקים יציצו לבקש אכל.
280	היזמה	הֵזֵמָּה	content	0	(unclear)	הזמה	verb	N	YES	ה	visible article ה on היזמה/initiative	עלינו לקבל את היזמה לידינו, עלינו לעבור להתקפה נמרצת ומקיפה.
281	הנוער	הַנֹּעַר	content	0	(unclear)	נער	noun	N	YES	ה	visible article ה	זועזעתי בראותי איך הכניסו בתוך תנועת הנוער העובד, בין
282	הקיבוץ	הַקִּבּוּץ	content	0	(unclear)	קבוץ	noun	N	YES	ה	visible article ה	למחצית היובל של הקיבוץ
283	הריגולן	הֲרִגּוּלָן	content	0	(unclear)	רגולן	noun	N	YES	-	הריגולן is fused הרי־גולן / toponymic compound; initial ה belongs to lexical word הרי, not article	סוגרים עליה הרים גבוהים מרוב צדדיה: ממזרח – שלשלת הריגולן, מצפון
284	השיביני	הַשִּׁיבֵנִי	content	0	(unclear)	השיבני	verb	N	YES	-	השיביני is imperative/verb form; ה is binyan/lexical morphology, not article	את השיביני, אמיאדמתי,
285	וגילו	וְגִלּוּ	content	0	(unclear)	גלו	verb	N	YES	ו	ו + גילו	ב. באשר לשיתוף פעולה, הרי אם מעשה ברח' דיזנגוף (שאותו הם מתכוננים לנקום) או מעשה עטלית (שע
